"{""id"": ""bpTit1"", ""name"": ""Title"", ""field_type"": 0, ""type_options"": {""0"": {""data"": """"}}, ""is_primary"": true}","{""id"": ""bpViw1"", ""name"": ""Views"", ""field_type"": 1, ""type_options"": {""1"": {""scale"": 0, ""format"": 1, ""name"": ""Number"", ""symbol"": """"}}, ""is_primary"": false}","{""id"": ""bpCmt1"", ""name"": ""Comments"", ""field_type"": 1, ""type_options"": {""1"": {""scale"": 0, ""format"": 1, ""name"": ""Number"", ""symbol"": """"}}, ""is_primary"": false}","{""id"": ""bpPub1"", ""name"": ""Published"", ""field_type"": 5, ""type_options"": {""5"": {}}, ""is_primary"": false}","{""id"": ""bpDat1"", ""name"": ""Publish Date"", ""field_type"": 2, ""type_options"": {""2"": {""date_format"": 3, ""time_format"": 1, ""timezone_id"": """"}}, ""is_primary"": false}","{""id"": ""bpCat1"", ""name"": ""Category"", ""field_type"": 3, ""type_options"": {""3"": {""content"": ""{\""options\"": [{\""id\"": \""tech\"", \""name\"": \""Technology\"", \""color\"": \""Blue\""}, {\""id\"": \""biz1\"", \""name\"": \""Business\"", \""color\"": \""Green\""}, {\""id\"": \""dsgn\"", \""name\"": \""Design\"", \""color\"": \""Orange\""}, {\""id\"": \""mkt1\"", \""name\"": \""Marketing\"", \""color\"": \""Purple\""}, {\""id\"": \""eng1\"", \""name\"": \""Engineering\"", \""color\"": \""Yellow\""}, {\""id\"": \""prd1\"", \""name\"": \""Product\"", \""color\"": \""Pink\""}, {\""id\"": \""cult\"", \""name\"": \""Culture\"", \""color\"": \""LightPink\""}, {\""id\"": \""tutr\"", \""name\"": \""Tutorial\"", \""color\"": \""Aqua\""}], \""disable_color\"": false}""}}, ""is_primary"": false}","{""id"": ""bpAuI1"", ""name"": ""Author Index"", ""field_type"": 1, ""type_options"": {""1"": {""scale"": 0, ""format"": 1, ""name"": ""Number"", ""symbol"": """"}}, ""is_primary"": false}","{""id"": ""bpLMd1"", ""name"": ""Last modified"", ""field_type"": 8, ""type_options"": {""8"": {""date_format"": 3, ""time_format"": 1, ""include_time"": true}}, ""is_primary"": false}","{""id"": ""bpCAt1"", ""name"": ""Created at"", ""field_type"": 9, ""type_options"": {""9"": {""date_format"": 3, ""time_format"": 1, ""include_time"": true}}, ""is_primary"": false}"
"{""data"": ""Building a Leadership Strategy"", ""created_at"": 1700000000, ""last_modified"": 1700000000, ""field_type"": 0}","{""data"": ""4316"", ""created_at"": 1700000000, ""last_modified"": 1700000000, ""field_type"": 1}","{""data"": ""66"", ""created_at"": 1700000000, ""last_modified"": 1700000000, ""field_type"": 1}","{""data"": ""Yes"", ""created_at"": 1700000000, ""last_modified"": 1700000000, ""field_type"": 5}","{""data"": ""1683907200"", ""created_at"": 1700000000, ""last_modified"": 1700000000, ""field_type"": 2, ""reminder_id"": """", ""is_range"": false, ""include_time"": false, ""end_timestamp"": """"}","{""data"": ""dsgn"", ""created_at"": 1700000000, ""last_modified"": 1700000000, ""field_type"": 3}","{""data"": ""61"", ""created_at"": 1700000000, ""last_modified"": 1700000000, ""field_type"": 1}","{""data"": ""1700000000"", ""field_type"": 8}","{""data"": ""1700000000"", ""field_type"": 9}"
"{""data"": ""Understanding Docker: A Deep Dive"", ""created_at"": 1700000050, ""last_modified"": 1700000050, ""field_type"": 0}","{""data"": ""26145"", ""created_at"": 1700000050, ""last_modified"": 1700000050, ""field_type"": 1}","{""data"": ""492"", ""created_at"": 1700000050, ""last_modified"": 1700000050, ""field_type"": 1}","{""data"": ""Yes"", ""created_at"": 1700000050, ""last_modified"": 1700000050, ""field_type"": 5}","{""data"": ""1679414400"", ""created_at"": 1700000050, ""last_modified"": 1700000050, ""field_type"": 2, ""reminder_id"": """", ""is_range"": false, ""include_time"": false, ""end_timestamp"": """"}","{""data"": ""eng1"", ""created_at"": 1700000050, ""last_modified"": 1700000050, ""field_type"": 3}","{""data"": ""8"", ""created_at"": 1700000050, ""last_modified"": 1700000050, ""field_type"": 1}","{""data"": ""1700000050"", ""field_type"": 8}","{""data"": ""1700000050"", ""field_type"": 9}"
"{""data"": ""The Complete Guide to Cloud Computing"", ""created_at"": 1700000100, ""last_modified"": 1700000100, ""field_type"": 0}","{""data"": ""1881"", ""created_at"": 1700000100, ""last_modified"": 1700000100, ""field_type"": 1}","{""data"": ""22"", ""created_at"": 1700000100, ""last_modified"": 1700000100, ""field_type"": 1}","{""data"": ""Yes"", ""created_at"": 1700000100, ""last_modified"": 1700000100, ""field_type"": 5}","{""data"": ""1722355200"", ""created_at"": 1700000100, ""last_modified"": 1700000100, ""field_type"": 2, ""reminder_id"": """", ""is_range"": false, ""include_time"": false, ""end_timestamp"": """"}","{""data"": ""prd1"", ""created_at"": 1700000100, ""last_modified"": 1700000100, ""field_type"": 3}","{""data"": ""154"", ""created_at"": 1700000100, ""last_modified"": 1700000100, ""field_type"": 1}","{""data"": ""1700000100"", ""field_type"": 8}","{""data"": ""1700000100"", ""field_type"": 9}"
"{""data"": ""Agile vs Security: Which is Better?"", ""created_at"": 1700000150, ""last_modified"": 1700000150, ""field_type"": 0}","{""data"": ""3912"", ""created_at"": 1700000150, ""last_modified"": 1700000150, ""field_type"": 1}","{""data"": ""44"", ""created_at"": 1700000150, ""last_modified"": 1700000150, ""field_type"": 1}","{""data"": ""Yes"", ""created_at"": 1700000150, ""last_modified"": 1700000150, ""field_type"": 5}","{""data"": ""1729267200"", ""created_at"": 1700000150, ""last_modified"": 1700000150, ""field_type"": 2, ""reminder_id"": """", ""is_range"": false, ""include_time"": false, ""end_timestamp"": """"}","{""data"": ""eng1"", ""created_at"": 1700000150, ""last_modified"": 1700000150, ""field_type"": 3}","{""data"": ""9"", ""created_at"": 1700000150, ""last_modified"": 1700000150, ""field_type"": 1}","{""data"": ""1700000150"", ""field_type"": 8}","{""data"": ""1700000150"", ""field_type"": 9}"
"{""data"": ""Introduction to REST APIs"", ""created_at"": 1700000200, ""last_modified"": 1700000200, ""field_type"": 0}","{""data"": ""8926"", ""created_at"": 1700000200, ""last_modified"": 1700000200, ""field_type"": 1}","{""data"": ""43"", ""created_at"": 1700000200, ""last_modified"": 1700000200, ""field_type"": 1}","{""data"": ""Yes"", ""created_at"": 1700000200, ""last_modified"": 1700000200, ""field_type"": 5}","{""data"": ""1702569600"", ""created_at"": 1700000200, ""last_modified"": 1700000200, ""field_type"": 2, ""reminder_id"": """", ""is_range"": false, ""include_time"": false, ""end_timestamp"": """"}","{""data"": ""mkt1"", ""created_at"": 1700000200, ""last_modified"": 1700000200, ""field_type"": 3}","{""data"": ""95"", ""created_at"": 1700000200, ""last_modified"": 1700000200, ""field_type"": 1}","{""data"": ""1700000200"", ""field_type"": 8}","{""data"": ""1700000200"", ""field_type"": 9}"
"{""data"": ""Understanding Customer Success: A Deep Dive"", ""created_at"": 1700000250, ""last_modified"": 1700000250, ""field_type"": 0}","{""data"": ""116"", ""created_at"": 1700000250, ""last_modified"": 1700000250, ""field_type"": 1}","{""data"": ""0"", ""created_at"": 1700000250, ""last_modified"": 1700000250, ""field_type"": 1}","{""data"": ""Yes"", ""created_at"": 1700000250, ""last_modified"": 1700000250, ""field_type"": 5}","{""data"": ""1683302400"", ""created_at"": 1700000250, ""last_modified"": 1700000250, ""field_type"": 2, ""reminder_id"": """", ""is_range"": false, ""include_time"": false, ""end_timestamp"": """"}","{""data"": ""tutr"", ""created_at"": 1700000250, ""last_modified"": 1700000250, ""field_type"": 3}","{""data"": ""112"", ""created_at"": 1700000250, ""last_modified"": 1700000250, ""field_type"": 1}","{""data"": ""1700000250"", ""field_type"": 8}","{""data"": ""1700000250"", ""field_type"": 9}"
"{""data"": ""Microservices: What You Need to Know"", ""created_at"": 1700000300, ""last_modified"": 1700000300, ""field_type"": 0}","{""data"": ""264"", ""created_at"": 1700000300, ""last_modified"": 1700000300, ""field_type"": 1}","{""data"": ""1"", ""created_at"": 1700000300, ""last_modified"": 1700000300, ""field_type"": 1}","{""data"": ""Yes"", ""created_at"": 1700000300, ""last_modified"": 1700000300, ""field_type"": 5}","{""data"": ""1689264000"", ""created_at"": 1700000300, ""last_modified"": 1700000300, ""field_type"": 2, ""reminder_id"": """", ""is_range"": false, ""include_time"": false, ""end_timestamp"": """"}","{""data"": ""prd1"", ""created_at"": 1700000300, ""last_modified"": 1700000300, ""field_type"": 3}","{""data"": ""205"", ""created_at"": 1700000300, ""last_modified"": 1700000300, ""field_type"": 1}","{""data"": ""1700000300"", ""field_type"": 8}","{""data"": ""1700000300"", ""field_type"": 9}"
"{""data"": ""The Complete Guide to Data Analytics"", ""created_at"": 1700000350, ""last_modified"": 1700000350, ""field_type"": 0}","{""data"": ""3721"", ""created_at"": 1700000350, ""last_modified"": 1700000350, ""field_type"": 1}","{""data"": ""41"", ""created_at"": 1700000350, ""last_modified"": 1700000350, ""field_type"": 1}","{""data"": ""Yes"", ""created_at"": 1700000350, ""last_modified"": 1700000350, ""field_type"": 5}","{""data"": ""1676736000"", ""created_at"": 1700000350, ""last_modified"": 1700000350, ""field_type"": 2, ""reminder_id"": """", ""is_range"": false, ""include_time"": false, ""end_timestamp"": """"}","{""data"": ""prd1"", ""created_at"": 1700000350, ""last_modified"": 1700000350, ""field_type"": 3}","{""data"": ""177"", ""created_at"": 1700000350, ""last_modified"": 1700000350, ""field_type"": 1}","{""data"": ""1700000350"", ""field_type"": 8}","{""data"": ""1700000350"", ""field_type"": 9}"
"{""data"": ""DevOps Tips and Tricks"", ""created_at"": 1700000400, ""last_modified"": 1700000400, ""field_type"": 0}","{""data"": ""483"", ""created_at"": 1700000400, ""last_modified"": 1700000400, ""field_type"": 1}","{""data"": ""0"", ""created_at"": 1700000400, ""last_modified"": 1700000400, ""field_type"": 1}","{""data"": ""No"", ""created_at"": 1700000400, ""last_modified"": 1700000400, ""field_type"": 5}","{""data"": ""1708099200"", ""created_at"": 1700000400, ""last_modified"": 1700000400, ""field_type"": 2, ""reminder_id"": """", ""is_range"": false, ""include_time"": false, ""end_timestamp"": """"}","{""data"": ""prd1"", ""created_at"": 1700000400, ""last_modified"": 1700000400, ""field_type"": 3}","{""data"": ""3"", ""created_at"": 1700000400, ""last_modified"": 1700000400, ""field_type"": 1}","{""data"": ""1700000400"", ""field_type"": 8}","{""data"": ""1700000400"", ""field_type"": 9}"
"{""data"": ""Why Marketing Automation Matters for Your Business"", ""created_at"": 1700000450, ""last_modified"": 1700000450, ""field_type"": 0}","{""data"": ""3664"", ""created_at"": 1700000450, ""last_modified"": 1700000450, ""field_type"": 1}","{""data"": ""41"", ""created_at"": 1700000450, ""last_modified"": 1700000450, ""field_type"": 1}","{""data"": ""Yes"", ""created_at"": 1700000450, ""last_modified"": 1700000450, ""field_type"": 5}","{""data"": ""1683820800"", ""created_at"": 1700000450, ""last_modified"": 1700000450, ""field_type"": 2, ""reminder_id"": """", ""is_range"": false, ""include_time"": false, ""end_timestamp"": """"}","{""data"": ""biz1"", ""created_at"": 1700000450, ""last_modified"": 1700000450, ""field_type"": 3}","{""data"": ""72"", ""created_at"": 1700000450, ""last_modified"": 1700000450, ""field_type"": 1}","{""data"": ""1700000450"", ""field_type"": 8}","{""data"": ""1700000450"", ""field_type"": 9}"
